,Border,Date,Measure,Value,Average
4963,US-Mexico Border,2013-03-01,Truck Containers Empty,125227,127622.0
4962,US-Canada Border,2013-03-01,Trains,2448,2291.0
4961,US-Mexico Border,2013-03-01,Pedestrians,3631710,3545581.0
4960,US-Mexico Border,2013-03-01,Buses,17877,17774.0
4959,US-Canada Border,2013-03-01,Buses,6914,6273.0
4958,US-Canada Border,2013-03-01,Bus Passengers,155080,137188.0
4957,US-Canada Border,2013-03-01,Personal Vehicles,2625752,2417665.0
4956,US-Mexico Border,2013-03-01,Rail Containers Empty,32227,31403.0
4955,US-Mexico Border,2013-03-01,Truck Containers Full,301659,283640.0
4954,US-Canada Border,2013-03-01,Rail Containers Empty,66338,57834.0
4953,US-Canada Border,2013-03-01,Truck Containers Full,337565,325219.0
4952,US-Mexico Border,2013-03-01,Personal Vehicles,5545763,5353555.0
4951,US-Canada Border,2013-03-01,Personal Vehicle Passengers,5043062,4454059.0
4950,US-Mexico Border,2013-03-01,Rail Containers Full,39194,33850.0
4949,US-Mexico Border,2013-03-01,Trains,771,739.0
4948,US-Mexico Border,2013-03-01,Train Passengers,387,332.0
4947,US-Canada Border,2013-03-01,Rail Containers Full,132645,124593.0
4946,US-Canada Border,2013-03-01,Truck Containers Empty,113800,112076.0
4945,US-Canada Border,2013-03-01,Pedestrians,19713,15946.0
4944,US-Mexico Border,2013-03-01,Bus Passengers,280591,240743.0
4943,US-Mexico Border,2013-02-01,Trains,700,746.0
4942,US-Mexico Border,2013-02-01,Truck Containers Full,283766,284425.0
4941,US-Mexico Border,2013-02-01,Pedestrians,3249782,3499336.0
4940,US-Mexico Border,2013-02-01,Trucks,408669,417958.0
4939,US-Canada Border,2013-02-01,Trucks,437245,454093.0
4938,US-Canada Border,2013-02-01,Train Passengers,10598,12257.0
4937,US-Mexico Border,2013-02-01,Personal Vehicle Passengers,8767637,9726158.0
4936,US-Canada Border,2013-02-01,Buses,5814,6560.0
4935,US-Canada Border,2013-02-01,Trains,2113,2297.0
4934,US-Mexico Border,2013-02-01,Rail Containers Empty,29815,32223.0
4933,US-Mexico Border,2013-02-01,Personal Vehicles,4958117,5314915.0
4932,US-Canada Border,2013-02-01,Personal Vehicles,2146613,2436451.0
4931,US-Canada Border,2013-02-01,Bus Passengers,116814,146540.0
4930,US-Mexico Border,2013-02-01,Bus Passengers,188305,226151.0
4929,US-Canada Border,2013-02-01,Rail Containers Empty,54584,57207.0
4928,US-Canada Border,2013-02-01,Truck Containers Empty,110879,111346.0
4927,US-Canada Border,2013-02-01,Rail Containers Full,118728,123640.0
4926,US-Mexico Border,2013-02-01,Truck Containers Empty,123374,133743.0
4925,US-Mexico Border,2013-02-01,Train Passengers,324,313.0
4924,US-Mexico Border,2013-02-01,Rail Containers Full,33885,32888.0
4923,US-Canada Border,2013-02-01,Personal Vehicle Passengers,3836360,4418324.0
4922,US-Canada Border,2013-02-01,Pedestrians,11124,20030.0
4921,US-Mexico Border,2013-02-01,Buses,15579,17670.0
4920,US-Canada Border,2013-02-01,Truck Containers Full,315990,321505.0
4919,US-Canada Border,2013-01-01,Buses,6016,7537.0
4918,US-Mexico Border,2013-01-01,Truck Containers Full,291529,279420.0
4917,US-Mexico Border,2013-01-01,Buses,17896,17903.0
4916,US-Canada Border,2013-01-01,Trucks,468575,458208.0
4915,US-Canada Border,2013-01-01,Personal Vehicles,2231300,2587813.0
4914,US-Mexico Border,2013-01-01,Bus Passengers,254128,227435.0
4913,US-Mexico Border,2013-01-01,Trains,713,752.0
4912,US-Mexico Border,2013-01-01,Rail Containers Full,29064,32945.0
4911,US-Canada Border,2013-01-01,Truck Containers Full,339226,326057.0
4910,US-Mexico Border,2013-01-01,Trucks,428107,414668.0
4909,US-Canada Border,2013-01-01,Rail Containers Full,128609,123704.0
4908,US-Canada Border,2013-01-01,Personal Vehicle Passengers,3906127,4713101.0
4907,US-Canada Border,2013-01-01,Train Passengers,11562,15480.0
4906,US-Mexico Border,2013-01-01,Pedestrians,3362923,3474784.0
4905,US-Canada Border,2013-01-01,Bus Passengers,110459,171744.0
4904,US-Mexico Border,2013-01-01,Truck Containers Empty,135411,135168.0
4903,US-Mexico Border,2013-01-01,Train Passengers,331,292.0
4902,US-Canada Border,2013-01-01,Rail Containers Empty,55308,58286.0
4901,US-Canada Border,2013-01-01,Trains,2319,2344.0
4900,US-Mexico Border,2013-01-01,Personal Vehicle Passengers,9764596,9826650.0
4899,US-Mexico Border,2013-01-01,Personal Vehicles,5359114,5349787.0
4898,US-Canada Border,2013-01-01,Pedestrians,13201,26598.0
4897,US-Mexico Border,2013-01-01,Rail Containers Empty,30884,32814.0
4896,US-Canada Border,2013-01-01,Truck Containers Empty,120508,108774.0
4895,US-Canada Border,2012-12-01,Truck Containers Empty,97013,110517.0
4894,US-Mexico Border,2012-12-01,Buses,19805,18078.0
4893,US-Mexico Border,2012-12-01,Personal Vehicles,5608850,5343302.0
4892,US-Canada Border,2012-12-01,Trains,2272,2375.0
4891,US-Mexico Border,2012-12-01,Truck Containers Full,252068,279617.0
4890,US-Canada Border,2012-12-01,Truck Containers Full,287570,325323.0
4889,US-Mexico Border,2012-12-01,Trucks,370217,417555.0
4888,US-Mexico Border,2012-12-01,Trains,743,757.0
4887,US-Mexico Border,2012-12-01,Bus Passengers,263620,234168.0
4886,US-Canada Border,2012-12-01,Personal Vehicle Passengers,4847694,5450543.0
4885,US-Mexico Border,2012-12-01,Pedestrians,3923442,3464002.0
4884,US-Mexico Border,2012-12-01,Train Passengers,309,271.0
4883,US-Canada Border,2012-12-01,Pedestrians,16812,37488.0
4882,US-Mexico Border,2012-12-01,Truck Containers Empty,117512,138275.0
4881,US-Canada Border,2012-12-01,Bus Passengers,150095,209864.0
4880,US-Mexico Border,2012-12-01,Personal Vehicle Passengers,10971293,9829445.0
4879,US-Canada Border,2012-12-01,Rail Containers Empty,55917,59679.0
4878,US-Mexico Border,2012-12-01,Rail Containers Empty,30085,33409.0
4877,US-Canada Border,2012-12-01,Train Passengers,12525,21824.0
4876,US-Mexico Border,2012-12-01,Rail Containers Full,32588,34171.0
4875,US-Canada Border,2012-12-01,Personal Vehicles,2545279,2877031.0
4874,US-Canada Border,2012-12-01,Trucks,390438,464066.0
4873,US-Canada Border,2012-12-01,Rail Containers Full,119825,122340.0
4872,US-Canada Border,2012-12-01,Buses,6354,8876.0
4871,US-Canada Border,2012-11-01,Rail Containers Empty,57021,61354.0
4870,US-Canada Border,2012-11-01,Truck Containers Empty,118182,115747.0
4869,US-Canada Border,2012-11-01,Personal Vehicle Passengers,4637052,5889948.0
4868,US-Canada Border,2012-11-01,Bus Passengers,153491,232829.0
4867,US-Canada Border,2012-11-01,Personal Vehicles,2539381,3068687.0
4866,US-Mexico Border,2012-11-01,Bus Passengers,217071,245946.0
4865,US-Mexico Border,2012-11-01,Trains,767,760.0
4864,US-Mexico Border,2012-11-01,Personal Vehicles,5295932,5267276.0
4863,US-Canada Border,2012-11-01,Trucks,471541,477128.0
4862,US-Mexico Border,2012-11-01,Train Passengers,309,268.0
4861,US-Canada Border,2012-11-01,Pedestrians,18882,47434.0
4860,US-Mexico Border,2012-11-01,Truck Containers Empty,136586,142817.0
4859,US-Mexico Border,2012-11-01,Personal Vehicle Passengers,9662909,9650732.0
4858,US-Mexico Border,2012-11-01,Rail Containers Empty,34006,34480.0
4857,US-Canada Border,2012-11-01,Train Passengers,11631,27752.0
4856,US-Mexico Border,2012-11-01,Rail Containers Full,34521,34326.0
4855,US-Canada Border,2012-11-01,Trains,2302,2400.0
4854,US-Canada Border,2012-11-01,Rail Containers Full,123160,121609.0
4853,US-Mexico Border,2012-11-01,Pedestrians,3560048,3355587.0
4852,US-Canada Border,2012-11-01,Buses,6266,10002.0
4851,US-Mexico Border,2012-11-01,Buses,17715,17847.0
4850,US-Mexico Border,2012-11-01,Truck Containers Full,289178,283603.0
4849,US-Mexico Border,2012-11-01,Trucks,427865,426717.0
4848,US-Canada Border,2012-11-01,Truck Containers Full,345745,333461.0
4847,US-Canada Border,2012-10-01,Rail Containers Full,127877,121275.0
4846,US-Canada Border,2012-10-01,Truck Containers Full,318994,333827.0
4845,US-Canada Border,2012-10-01,Rail Containers Empty,63205,62293.0
4844,US-Canada Border,2012-10-01,Truck Containers Empty,110149,115205.0
4843,US-Mexico Border,2012-10-01,Truck Containers Empty,155834,142438.0
4842,US-Mexico Border,2012-10-01,Rail Containers Full,34383,34683.0
4841,US-Mexico Border,2012-10-01,Personal Vehicles,5352562,5213536.0
4840,US-Canada Border,2012-10-01,Trains,2477,2415.0
4839,US-Mexico Border,2012-10-01,Trains,806,755.0
4838,US-Mexico Border,2012-10-01,Train Passengers,293,265.0
4837,US-Canada Border,2012-10-01,Pedestrians,40131,52855.0
4836,US-Mexico Border,2012-10-01,Personal Vehicle Passengers,9464353,9551436.0
4835,US-Canada Border,2012-10-01,Train Passengers,14967,32283.0
4834,US-Canada Border,2012-10-01,Trucks,502667,479100.0
4833,US-Mexico Border,2012-10-01,Buses,17353,17879.0
4832,US-Canada Border,2012-10-01,Bus Passengers,201843,254256.0
4831,US-Canada Border,2012-10-01,Buses,8351,11162.0
4830,US-Mexico Border,2012-10-01,Pedestrians,3400483,3282496.0
4829,US-Mexico Border,2012-10-01,Truck Containers Full,305582,284200.0
4828,US-Mexico Border,2012-10-01,Trucks,454930,427201.0
4827,US-Mexico Border,2012-10-01,Rail Containers Empty,36325,34367.0
4826,US-Canada Border,2012-10-01,Personal Vehicle Passengers,4864389,6079613.0
4825,US-Mexico Border,2012-10-01,Bus Passengers,207629,248190.0
4824,US-Canada Border,2012-10-01,Personal Vehicles,2719680,3162286.0
4823,US-Mexico Border,2012-09-01,Trucks,392223,428251.0
4822,US-Mexico Border,2012-09-01,Pedestrians,3127024,3286770.0
4821,US-Canada Border,2012-09-01,Train Passengers,26716,34611.0
4820,US-Mexico Border,2012-09-01,Rail Containers Full,34167,34542.0
4819,US-Mexico Border,2012-09-01,Personal Vehicles,5132479,5196551.0
4818,US-Canada Border,2012-09-01,Truck Containers Empty,98020,115615.0
4817,US-Canada Border,2012-09-01,Trains,2350,2375.0
4816,US-Canada Border,2012-09-01,Pedestrians,43962,52643.0
4815,US-Canada Border,2012-09-01,Personal Vehicles,2903426,3174179.0
4814,US-Mexico Border,2012-09-01,Rail Containers Empty,32770,35166.0
4813,US-Canada Border,2012-09-01,Rail Containers Empty,59980,61605.0
4812,US-Mexico Border,2012-09-01,Truck Containers Empty,130496,138316.0
4811,US-Mexico Border,2012-09-01,Train Passengers,219,266.0
4810,US-Canada Border,2012-09-01,Buses,10700,11696.0
4809,US-Canada Border,2012-09-01,Trucks,457817,479689.0
4808,US-Mexico Border,2012-09-01,Trains,733,746.0
4807,US-Mexico Border,2012-09-01,Bus Passengers,194726,251262.0
4806,US-Mexico Border,2012-09-01,Truck Containers Full,258742,287516.0
4805,US-Mexico Border,2012-09-01,Personal Vehicle Passengers,9270098,9549854.0
4804,US-Canada Border,2012-09-01,Personal Vehicle Passengers,5310244,6116475.0
4803,US-Mexico Border,2012-09-01,Buses,16744,17946.0
4802,US-Canada Border,2012-09-01,Rail Containers Full,119051,118142.0
4801,US-Canada Border,2012-09-01,Truck Containers Full,338751,345295.0
4800,US-Canada Border,2012-09-01,Bus Passengers,242833,265263.0
4799,US-Mexico Border,2012-08-01,Truck Containers Full,292515,292918.0
4798,US-Canada Border,2012-08-01,Buses,12710,11171.0
4797,US-Canada Border,2012-08-01,Personal Vehicle Passengers,7593334,5992975.0
4796,US-Mexico Border,2012-08-01,Trains,738,752.0
4795,US-Mexico Border,2012-08-01,Truck Containers Empty,150948,136738.0
4794,US-Canada Border,2012-08-01,Trains,2476,2467.0
4793,US-Canada Border,2012-08-01,Truck Containers Empty,129220,115620.0
4792,US-Mexico Border,2012-08-01,Pedestrians,3309013,3348585.0
4791,US-Mexico Border,2012-08-01,Personal Vehicles,5326689,5193025.0
4790,US-Canada Border,2012-08-01,Train Passengers,43280,32548.0
4789,US-Canada Border,2012-08-01,Trucks,497866,482402.0
4788,US-Mexico Border,2012-08-01,Train Passengers,223,280.0
4787,US-Canada Border,2012-08-01,Pedestrians,67652,48294.0
4786,US-Mexico Border,2012-08-01,Personal Vehicle Passengers,9778573,9613947.0
4785,US-Mexico Border,2012-08-01,Buses,18773,18055.0
4784,US-Canada Border,2012-08-01,Truck Containers Full,335555,348326.0
4783,US-Mexico Border,2012-08-01,Trucks,442540,433382.0
4782,US-Canada Border,2012-08-01,Rail Containers Full,121787,118370.0
4781,US-Mexico Border,2012-08-01,Bus Passengers,287795,261143.0
4780,US-Canada Border,2012-08-01,Personal Vehicles,3677389,3103633.0
4779,US-Canada Border,2012-08-01,Rail Containers Empty,62271,61534.0
4778,US-Canada Border,2012-08-01,Bus Passengers,301059,256053.0
4777,US-Mexico Border,2012-08-01,Rail Containers Empty,33860,36704.0
4776,US-Mexico Border,2012-08-01,Rail Containers Full,35197,34224.0
4775,US-Canada Border,2012-07-01,Rail Containers Empty,64294,61443.0
4774,US-Canada Border,2012-07-01,Personal Vehicles,3503557,2878105.0
4773,US-Mexico Border,2012-07-01,Personal Vehicle Passengers,10077726,9552368.0
4772,US-Mexico Border,2012-07-01,Pedestrians,3381367,3416632.0
4771,US-Mexico Border,2012-07-01,Truck Containers Full,271996,298319.0
4770,US-Canada Border,2012-07-01,Trains,2394,2453.0
4769,US-Mexico Border,2012-07-01,Train Passengers,297,298.0
4768,US-Canada Border,2012-07-01,Rail Containers Full,116170,118667.0
4767,US-Canada Border,2012-07-01,Personal Vehicle Passengers,7044719,5431816.0
4766,US-Canada Border,2012-07-01,Train Passengers,42167,26985.0
4765,US-Canada Border,2012-07-01,Pedestrians,66543,40188.0
4764,US-Canada Border,2012-07-01,Trucks,455751,479912.0
4763,US-Canada Border,2012-07-01,Truck Containers Empty,123163,111198.0
4762,US-Mexico Border,2012-07-01,Buses,18652,17780.0
4761,US-Canada Border,2012-07-01,Buses,11984,10029.0
4760,US-Canada Border,2012-07-01,Truck Containers Full,328261,353214.0
4759,US-Mexico Border,2012-07-01,Personal Vehicles,5228717,5183687.0
4758,US-Mexico Border,2012-07-01,Truck Containers Empty,140223,133903.0
4757,US-Mexico Border,2012-07-01,Trucks,416027,436668.0
4756,US-Mexico Border,2012-07-01,Bus Passengers,322510,252318.0
4755,US-Canada Border,2012-07-01,Bus Passengers,264921,225852.0
4754,US-Mexico Border,2012-07-01,Rail Containers Empty,35439,37715.0
4753,US-Mexico Border,2012-07-01,Rail Containers Full,33363,34131.0
4752,US-Mexico Border,2012-07-01,Trains,757,754.0
4751,US-Canada Border,2012-06-01,Truck Containers Full,347573,354925.0
4750,US-Canada Border,2012-06-01,Rail Containers Empty,61713,59915.0
4749,US-Canada Border,2012-06-01,Buses,12065,8979.0
4748,US-Mexico Border,2012-06-01,Truck Containers Empty,134687,131539.0
4747,US-Mexico Border,2012-06-01,Rail Containers Full,36304,34016.0
4746,US-Mexico Border,2012-06-01,Buses,17874,17252.0
4745,US-Canada Border,2012-06-01,Pedestrians,45985,30753.0
4744,US-Canada Border,2012-06-01,Rail Containers Full,121490,118107.0
4743,US-Mexico Border,2012-06-01,Personal Vehicle Passengers,9166429,9269234.0
4742,US-Canada Border,2012-06-01,Train Passengers,34285,20961.0
4741,US-Canada Border,2012-06-01,Trucks,481397,478985.0
4740,US-Mexico Border,2012-06-01,Pedestrians,3194593,3408835.0
4739,US-Mexico Border,2012-06-01,Truck Containers Full,292163,301533.0
4738,US-Mexico Border,2012-06-01,Trucks,430283,436910.0
4737,US-Mexico Border,2012-06-01,Bus Passengers,228291,227216.0
4736,US-Canada Border,2012-06-01,Personal Vehicle Passengers,5585380,4795575.0
4735,US-Canada Border,2012-06-01,Bus Passengers,260624,199660.0
4734,US-Mexico Border,2012-06-01,Personal Vehicles,5027232,5115316.0
4733,US-Canada Border,2012-06-01,Truck Containers Empty,115472,106518.0
4732,US-Canada Border,2012-06-01,Personal Vehicles,3007378,2613608.0
4731,US-Canada Border,2012-06-01,Trains,2379,2411.0
4730,US-Mexico Border,2012-06-01,Train Passengers,295,294.0
4729,US-Mexico Border,2012-06-01,Rail Containers Empty,33442,37852.0
4728,US-Mexico Border,2012-06-01,Trains,742,746.0
4727,US-Mexico Border,2012-05-01,Train Passengers,296,275.0
4726,US-Mexico Border,2012-05-01,Personal Vehicle Passengers,9456442,9331641.0
4725,US-Canada Border,2012-05-01,Trains,2274,2375.0
4724,US-Canada Border,2012-05-01,Truck Containers Full,376336,353265.0
4723,US-Canada Border,2012-05-01,Bus Passengers,256879,172148.0
4722,US-Canada Border,2012-05-01,Personal Vehicles,2779147,2437509.0
4721,US-Mexico Border,2012-05-01,Personal Vehicles,5267639,5146008.0
4720,US-Mexico Border,2012-05-01,Bus Passengers,222990,228999.0
4719,US-Canada Border,2012-05-01,Train Passengers,26609,16695.0
4718,US-Canada Border,2012-05-01,Buses,11022,7918.0
4717,US-Mexico Border,2012-05-01,Buses,17687,17059.0
4716,US-Mexico Border,2012-05-01,Pedestrians,3421853,3449134.0
4715,US-Canada Border,2012-05-01,Truck Containers Empty,112198,103136.0
4714,US-Mexico Border,2012-05-01,Trucks,460181,433968.0
4713,US-Canada Border,2012-05-01,Personal Vehicle Passengers,5048697,4425073.0
4712,US-Canada Border,2012-05-01,Trucks,505616,473206.0
4711,US-Canada Border,2012-05-01,Rail Containers Empty,59768,58189.0
4710,US-Mexico Border,2012-05-01,Truck Containers Full,322166,299470.0
4709,US-Canada Border,2012-05-01,Pedestrians,39073,24981.0
4708,US-Mexico Border,2012-05-01,Truck Containers Empty,135225,131450.0
4707,US-Mexico Border,2012-05-01,Trains,760,734.0
4706,US-Mexico Border,2012-05-01,Rail Containers Empty,40321,38405.0
4705,US-Canada Border,2012-05-01,Rail Containers Full,112210,116496.0
4704,US-Mexico Border,2012-05-01,Rail Containers Full,33681,31858.0
4703,US-Mexico Border,2012-04-01,Pedestrians,3436099,3515454.0
4702,US-Mexico Border,2012-04-01,Truck Containers Full,285750,283299.0
4701,US-Mexico Border,2012-04-01,Personal Vehicles,5114847,5163040.0
4700,US-Mexico Border,2012-04-01,Bus Passengers,244130,233611.0
4699,US-Canada Border,2012-04-01,Bus Passengers,196782,153172.0
4698,US-Mexico Border,2012-04-01,Rail Containers Full,32577,30920.0
4697,US-Canada Border,2012-04-01,Personal Vehicle Passengers,4692746,4374814.0
4696,US-Canada Border,2012-04-01,Personal Vehicles,2550693,2387492.0
4695,US-Canada Border,2012-04-01,Rail Containers Empty,59624,56739.0
4694,US-Mexico Border,2012-04-01,Rail Containers Empty,40459,37164.0
4693,US-Mexico Border,2012-04-01,Truck Containers Empty,122607,127102.0
4692,US-Mexico Border,2012-04-01,Trucks,417881,418327.0
4691,US-Mexico Border,2012-04-01,Trains,761,722.0
4690,US-Mexico Border,2012-04-01,Personal Vehicle Passengers,9590563,9489645.0
4689,US-Canada Border,2012-04-01,Rail Containers Full,120192,116936.0
4688,US-Canada Border,2012-04-01,Truck Containers Full,353903,332376.0
4687,US-Canada Border,2012-04-01,Train Passengers,16398,14541.0
4686,US-Mexico Border,2012-04-01,Buses,17291,17380.0
4685,US-Canada Border,2012-04-01,Trains,2813,2383.0
4684,US-Canada Border,2012-04-01,Pedestrians,22216,21923.0
4683,US-Canada Border,2012-04-01,Buses,8076,7145.0
4682,US-Mexico Border,2012-04-01,Train Passengers,289,275.0
4681,US-Canada Border,2012-04-01,Truck Containers Empty,98048,96989.0
4680,US-Canada Border,2012-04-01,Trucks,471380,454987.0
4679,US-Canada Border,2012-03-01,Bus Passengers,150053,147502.0
4678,US-Mexico Border,2012-03-01,Bus Passengers,243669,226917.0
4677,US-Canada Border,2012-03-01,Rail Containers Full,123272,115188.0
4676,US-Canada Border,2012-03-01,Buses,6997,7091.0
4675,US-Canada Border,2012-03-01,Rail Containers Empty,61814,56004.0
4674,US-Mexico Border,2012-03-01,Truck Containers Full,319519,279007.0
4673,US-Canada Border,2012-03-01,Truck Containers Full,359997,329336.0
4672,US-Mexico Border,2012-03-01,Train Passengers,312,273.0
4671,US-Mexico Border,2012-03-01,Personal Vehicle Passengers,9470678,9370199.0
4670,US-Canada Border,2012-03-01,Personal Vehicle Passengers,4787539,4325181.0
4669,US-Mexico Border,2012-03-01,Buses,17394,17295.0
4668,US-Mexico Border,2012-03-01,Trains,750,714.0
4667,US-Mexico Border,2012-03-01,Personal Vehicles,5279998,5130909.0
4666,US-Mexico Border,2012-03-01,Rail Containers Full,34728,30246.0
4665,US-Canada Border,2012-03-01,Trucks,485415,453525.0
4664,US-Canada Border,2012-03-01,Pedestrians,27125,22369.0
4663,US-Mexico Border,2012-03-01,Truck Containers Empty,136771,128745.0
4662,US-Canada Border,2012-03-01,Trains,2407,2278.0
4661,US-Canada Border,2012-03-01,Personal Vehicles,2549752,2365705.0
4660,US-Mexico Border,2012-03-01,Rail Containers Empty,38912,36509.0
4659,US-Canada Border,2012-03-01,Truck Containers Empty,107108,95917.0
4658,US-Mexico Border,2012-03-01,Pedestrians,3649248,3508958.0
4657,US-Mexico Border,2012-03-01,Trucks,458966,416724.0
4656,US-Canada Border,2012-03-01,Train Passengers,15466,13766.0
4655,US-Mexico Border,2012-02-01,Trains,718,714.0
4654,US-Mexico Border,2012-02-01,Rail Containers Empty,36125,36237.0
4653,US-Canada Border,2012-02-01,Train Passengers,12049,13841.0
4652,US-Mexico Border,2012-02-01,Personal Vehicle Passengers,8662060,9328458.0
4651,US-Mexico Border,2012-02-01,Buses,16014,17047.0
4650,US-Mexico Border,2012-02-01,Truck Containers Empty,128405,125705.0
4649,US-Mexico Border,2012-02-01,Rail Containers Full,32788,29631.0
4648,US-Mexico Border,2012-02-01,Truck Containers Full,288069,268395.0
4647,US-Canada Border,2012-02-01,Bus Passengers,133961,159074.0
4646,US-Mexico Border,2012-02-01,Pedestrians,3342384,3441626.0
4645,US-Canada Border,2012-02-01,Trains,2180,2260.0
4644,US-Mexico Border,2012-02-01,Train Passengers,278,275.0
4643,US-Mexico Border,2012-02-01,Trucks,417237,407417.0
4642,US-Canada Border,2012-02-01,Pedestrians,19367,26105.0
4641,US-Canada Border,2012-02-01,Buses,6737,7527.0
4640,US-Canada Border,2012-02-01,Truck Containers Full,336818,327084.0
4639,US-Canada Border,2012-02-01,Personal Vehicles,2181072,2392712.0
4638,US-Canada Border,2012-02-01,Personal Vehicle Passengers,3863511,4343572.0
4637,US-Mexico Border,2012-02-01,Personal Vehicles,4886864,5105559.0
4636,US-Canada Border,2012-02-01,Rail Containers Empty,56656,55200.0
4635,US-Mexico Border,2012-02-01,Bus Passengers,197001,219792.0
4634,US-Canada Border,2012-02-01,Trucks,451118,450922.0
4633,US-Canada Border,2012-02-01,Rail Containers Full,113373,113767.0
4632,US-Canada Border,2012-02-01,Truck Containers Empty,99764,94347.0
4631,US-Canada Border,2012-01-01,Trains,2200,2281.0
4630,US-Mexico Border,2012-01-01,Truck Containers Full,281844,264423.0
4629,US-Canada Border,2012-01-01,Pedestrians,17122,31767.0
4628,US-Canada Border,2012-01-01,Trucks,452501,454101.0
4627,US-Mexico Border,2012-01-01,Trucks,415573,403950.0
4626,US-Mexico Border,2012-01-01,Trains,682,717.0
4625,US-Canada Border,2012-01-01,Personal Vehicle Passengers,3732873,4610902.0
4624,US-Mexico Border,2012-01-01,Personal Vehicle Passengers,9478461,9337499.0
4623,US-Canada Border,2012-01-01,Truck Containers Empty,98562,94364.0
4622,US-Mexico Border,2012-01-01,Bus Passengers,237205,217558.0
4621,US-Mexico Border,2012-01-01,Rail Containers Full,25516,29122.0
4620,US-Mexico Border,2012-01-01,Truck Containers Empty,134240,126246.0
4619,US-Mexico Border,2012-01-01,Rail Containers Empty,36206,36098.0
4618,US-Mexico Border,2012-01-01,Personal Vehicles,5180694,5116520.0
4617,US-Canada Border,2012-01-01,Buses,6759,8395.0
4616,US-Canada Border,2012-01-01,Rail Containers Full,113435,113416.0
4615,US-Canada Border,2012-01-01,Rail Containers Empty,53082,55140.0
4614,US-Canada Border,2012-01-01,Personal Vehicles,2126882,2523777.0
4613,US-Mexico Border,2012-01-01,Train Passengers,199,280.0
4612,US-Canada Border,2012-01-01,Truck Containers Full,339271,328778.0
4611,US-Canada Border,2012-01-01,Train Passengers,12955,16866.0
4610,US-Mexico Border,2012-01-01,Buses,16909,16953.0
4609,US-Canada Border,2012-01-01,Bus Passengers,123067,181053.0
4608,US-Mexico Border,2012-01-01,Pedestrians,3396086,3390111.0
4607,US-Canada Border,2011-12-01,Truck Containers Full,271890,331979.0
4606,US-Canada Border,2011-12-01,Bus Passengers,161998,212107.0
4605,US-Mexico Border,2011-12-01,Personal Vehicle Passengers,10246464,9342407.0
4604,US-Mexico Border,2011-12-01,Buses,19293,16989.0
4603,US-Canada Border,2011-12-01,Pedestrians,23785,43283.0
4602,US-Canada Border,2011-12-01,Rail Containers Full,114407,111912.0
4601,US-Canada Border,2011-12-01,Trucks,414522,456235.0
4600,US-Canada Border,2011-12-01,Trains,2314,2322.0
4599,US-Mexico Border,2011-12-01,Personal Vehicles,5352799,5123744.0
4598,US-Canada Border,2011-12-01,Train Passengers,15839,23348.0
4597,US-Canada Border,2011-12-01,Personal Vehicle Passengers,4797399,5269684.0
4596,US-Canada Border,2011-12-01,Buses,7156,9576.0
4595,US-Mexico Border,2011-12-01,Truck Containers Full,241312,264100.0
4594,US-Canada Border,2011-12-01,Rail Containers Empty,52520,56059.0
4593,US-Mexico Border,2011-12-01,Train Passengers,295,292.0
4592,US-Mexico Border,2011-12-01,Rail Containers Empty,34119,35872.0
4591,US-Mexico Border,2011-12-01,Rail Containers Full,28990,30020.0
4590,US-Mexico Border,2011-12-01,Pedestrians,3753452,3356028.0
4589,US-Mexico Border,2011-12-01,Truck Containers Empty,113485,127160.0
4588,US-Canada Border,2011-12-01,Personal Vehicles,2529059,2785809.0
4587,US-Mexico Border,2011-12-01,Trains,699,737.0
4586,US-Mexico Border,2011-12-01,Trucks,381976,399952.0
4585,US-Canada Border,2011-12-01,Truck Containers Empty,81462,95086.0
4584,US-Mexico Border,2011-12-01,Bus Passengers,246049,221583.0
4583,US-Canada Border,2011-11-01,Trains,2289,2315.0
4582,US-Mexico Border,2011-11-01,Rail Containers Full,29207,30444.0
4581,US-Canada Border,2011-11-01,Pedestrians,24448,49655.0
4580,US-Canada Border,2011-11-01,Rail Containers Empty,55947,56423.0
4579,US-Mexico Border,2011-11-01,Personal Vehicles,4954191,5083080.0
4578,US-Canada Border,2011-11-01,Buses,7808,10759.0
4577,US-Mexico Border,2011-11-01,Train Passengers,282,297.0
4576,US-Mexico Border,2011-11-01,Bus Passengers,210661,232443.0
4575,US-Canada Border,2011-11-01,Truck Containers Full,338702,340418.0
4574,US-Mexico Border,2011-11-01,Rail Containers Empty,37184,35613.0
4573,US-Canada Border,2011-11-01,Truck Containers Empty,92690,97600.0
4572,US-Mexico Border,2011-11-01,Trains,720,738.0
4571,US-Mexico Border,2011-11-01,Personal Vehicle Passengers,8993331,9242385.0
4570,US-Mexico Border,2011-11-01,Trucks,409868,401396.0
4569,US-Mexico Border,2011-11-01,Buses,16867,17104.0
4568,US-Mexico Border,2011-11-01,Pedestrians,3403621,3259995.0
4567,US-Canada Border,2011-11-01,Rail Containers Full,111451,109913.0
4566,US-Canada Border,2011-11-01,Bus Passengers,168430,236659.0
4565,US-Canada Border,2011-11-01,Personal Vehicles,2441758,2975334.0
4564,US-Mexico Border,2011-11-01,Truck Containers Empty,130824,130213.0
4563,US-Canada Border,2011-11-01,Personal Vehicle Passengers,4444581,5737752.0
4562,US-Mexico Border,2011-11-01,Truck Containers Full,264292,268105.0
4561,US-Canada Border,2011-11-01,Trucks,464071,458763.0
